geonames_id,osm_id,wikipedia_id,woe_id,name,iso,is_megacity,latitude,longitude
5710360,150953992,124431,2522153,"Winnemucca, Nevada, United States of America",USA,0,40.9733762808,-117.734684694
5503694,150976017,124479,2399257,"Ely, Nevada, United States of America",USA,0,39.2470217072,-114.88767501
5501344,150939853,7441,2375607,"Carson City, Nevada, United States of America",USA,0,39.1638484894,-119.766395306
5464806,151533374,18952840,2391029,"Deming, New Mexico, United States of America",USA,0,32.2610915314,-107.755784751
5495292,151887868,126033,2508318,"Truth or Consequences, New Mexico, United States of America",USA,0,33.1335964142,-107.25289555
5475433,151761248,125983,2436703,"Las Vegas, New Mexico, United States of America",USA,0,35.5970119416,-105.222502687
5467328,151346348,125969,2402460,"Farmington, New Mexico, United States of America",USA,0,36.7541506134,-108.186094403
5488441,151696224,26186,2485063,"Roswell, New Mexico, United States of America",USA,0,33.3945365591,-104.522467897
5462393,151350217,125864,2382069,"Clovis, New Mexico, United States of America",USA,0,34.4050691925,-103.20477055
5475352,151934445,125874,2436669,"Las Cruces, New Mexico, United States of America",USA,0,32.3126129344,-106.77780827
5471578,151333427,125905,2422639,"Hobbs, New Mexico, United States of America",USA,0,32.7126143585,-103.14061426
5491999,151784029,126039,2495508,"Socorro, New Mexico, United States of America",USA,0,34.0621185496,-106.898989504
5468773,151488576,125927,2408557,"Gallup, New Mexico, United States of America",USA,0,35.5240706574,-108.733993776
5486795,151357952,125860,2478806,"Raton, New Mexico, United States of America",USA,0,36.8973976838,-104.439888959
5495360,151428123,125955,2508455,"Tucumcari, New Mexico, United States of America",USA,0,35.1698028758,-103.725513959
5460459,151803163,125888,2375061,"Carlsbad, New Mexico, United States of America",USA,0,32.4205650014,-104.228299807
5454627,151886876,125944,2352584,"Alamogordo, New Mexico, United States of America",USA,0,32.8994763377,-105.95971867
5754005,150939251,130852,2498305,"Springfield, Oregon, United States of America",USA,0,44.0519480581,-122.978033897
5756777,150964012,130953,2506354,"Tillamook, Oregon, United States of America",USA,0,45.4552474152,-123.842503094
5744166,150956255,130886,2465714,"Ontario, Oregon, United States of America",USA,0,44.0266266063,-116.961889488
5735537,34729289,130977,2434203,"La Grande, Oregon, United States of America",USA,0,45.3246869091,-118.086601198
